ID,Category,SubCategory,StateName,ChineseName,Description,Priority,Reference
1,FreeExploration,BasicMovement,Explore_Default,默认探索状态,标准第三人称跟随,1,All
2,FreeExploration,BasicMovement,Explore_Walk,步行状态,步行时的镜头,1,All
3,FreeExploration,BasicMovement,Explore_Sprint,冲刺状态,拉远+FOV增大,1,All
4,FreeExploration,BasicMovement,Explore_Crouch,蹲伏状态,压低相机高度,1,All
5,FreeExploration,BasicMovement,Explore_Backward,后退行走,后退时的镜头调整,1,All
6,FreeExploration,BasicMovement,Explore_Strafe,侧向移动,侧向移动时保持面朝方向,1,All
7,FreeExploration,Idle,Idle_Default,默认空闲,静止时的基础镜头,1,All
8,FreeExploration,Idle,Idle_LongIdle,长时间空闲,长时间不操作时的镜头,2,All
9,FreeExploration,Alignment,Align_ScreenEdge,边缘自动对齐,角色接近屏幕边缘时对齐,1,All
10,FreeExploration,Alignment,Align_ReverseMovement,反向移动校正,Input-Driven Recentering,1,All
11,FreeExploration,Alignment,Align_SoftDelay,软性延迟跟随,转向时带阻尼,1,All
12,FreeExploration,Collision,Collision_Push,碰撞推动,撞墙时相机被推近,1,All
13,FreeExploration,Collision,Collision_ObstructionFade,遮挡物渐隐,遮挡物变透明,1,All
14,FreeExploration,Collision,Collision_TightSpace,狭小空间处理,狭小空间的相机处理,1,All
15,FreeExploration,Collision,Collision_LowCeiling,低天花板压低,低天花板时压低相机,1,All
16,FreeExploration,Movement,Move_Jump,跳跃中,跳跃时的镜头,1,EldenRing
17,FreeExploration,Movement,Move_Fall,坠落中,坠落时的镜头,1,All
18,FreeExploration,Movement,Move_Land,落地瞬间,落地时轻微震动,1,All
19,FreeExploration,Movement,Move_HardLand,重落地,重落地时较强震动,1,All
20,FreeExploration,Movement,Move_Roll,翻滚中,翻滚时短暂延迟跟随,1,All
21,FreeExploration,Movement,Move_Slide,滑行滑坡,滑行时的镜头,2,Some
22,FreeExploration,Climbing,Climb_Ladder,爬梯子,爬梯子时的固定视角,1,All
23,FreeExploration,Climbing,Climb_Ledge,攀爬边缘,边缘攀爬时的镜头,1,EldenRing
24,FreeExploration,Mount,Mount_Idle,骑乘静止,骑马静止,1,EldenRing
25,FreeExploration,Mount,Mount_Walk,骑乘慢走,骑马慢走,1,EldenRing
26,FreeExploration,Mount,Mount_Sprint,骑乘冲刺,骑马冲刺,1,EldenRing
27,FreeExploration,Mount,Mount_Jump,骑乘跳跃,骑马跳跃,1,EldenRing
28,FreeExploration,Mount,Mount_DoubleJump,骑乘二段跳,骑马二段跳,1,EldenRing
29,FreeExploration,Mount,Mount_Combat,骑乘战斗,骑马战斗,1,EldenRing
30,FreeExploration,Mount,Mount_Dismount,下马,下马动作,1,EldenRing
31,FreeExploration,Mount,Mount_Mount,上马,上马动作,1,EldenRing
32,FreeExploration,Mount,Mount_Summon,召唤坐骑,召唤灵马,1,EldenRing
33,FreeExploration,Mount,Mount_Dismiss,遣散坐骑,遣散灵马,1,EldenRing
34,FreeExploration,Area,Area_Enter_New,新区域进入,首次进入显示名称,1,All
35,FreeExploration,Area,Area_Enter_Boss,Boss区域进入,进入Boss区域,1,All
36,FreeExploration,Area,Area_FogWall,雾门相关,雾门相关镜头,1,All
