ModifierID,ModifierName,ChineseName,Category,SubCategory,TriggerEvent,Duration,BlendInTime,BlendOutTime,Priority,AffectsPosition,AffectsRotation,AffectsFOV,AffectsPostProcess,IsCore,Description
S01,Shake_Hit_Light,轻击震动,Shake,Combat,玩家受到轻攻击,0.15,0.02,0.08,100,true,true,false,false,true,轻微受击时的短促震动
S02,Shake_Hit_Heavy,重击震动,Shake,Combat,玩家受到重攻击,0.3,0.02,0.15,110,true,true,true,false,true,重击时的强烈震动带FOV冲击
S03,Shake_Attack_Hit,攻击命中震动,Shake,Combat,玩家攻击命中敌人,0.1,0.01,0.05,90,true,true,false,false,true,攻击命中时的轻微反馈震动
S04,Shake_Environment,环境震动,Shake,Environment,Boss脚步/地震/爆炸,0.5,0.05,0.2,80,true,true,false,false,false,环境事件引起的持续震动
S05,Shake_Landing,落地震动,Shake,Movement,高处落地,0.2,0.02,0.1,85,true,false,false,false,false,高处落地时的冲击震动
R01,Reaction_Parry,弹反反应,Reaction,Combat,弹反成功,0.25,0.02,0.15,150,true,true,true,false,true,弹反成功时的相机顿挫和特写
R02,Reaction_PerfectParry,完美弹反反应,Reaction,Combat,完美弹反成功,0.35,0.02,0.2,160,true,true,true,true,true,完美弹反的强化相机效果
R03,Reaction_Stagger,硬直反应,Reaction,Combat,敌人进入硬直,0.3,0.05,0.15,120,false,true,true,false,true,敌人硬直时轻微拉近聚焦
R04,Reaction_Knockback,击退反应,Reaction,Combat,玩家被击退,0.4,0.05,0.2,110,true,true,false,false,false,被击退时相机跟随延迟
R05,Reaction_Knockdown,倒地反应,Reaction,Combat,玩家倒地,0.5,0.05,0.25,115,true,true,true,false,false,倒地时相机下压和视角变化
R06,Reaction_GuardBreak,崩防反应,Reaction,Combat,玩家或敌人崩防,0.3,0.03,0.15,130,true,true,true,false,true,崩防时的冲击相机效果
C01,Cinematic_Execution,处决相机,Cinematic,Special,触发处决动画,动画长度,0.15,0.3,200,true,true,true,false,true,处决时的电影化相机接管
C02,Cinematic_Backstab,背刺相机,Cinematic,Special,触发背刺动画,动画长度,0.12,0.25,200,true,true,true,false,true,背刺时的特殊视角
C03,Cinematic_Riposte,致命一击相机,Cinematic,Special,触发致命一击,动画长度,0.1,0.25,200,true,true,true,false,true,弹反后致命一击的相机
C04,Cinematic_BossIntro,Boss登场,Cinematic,Boss,进入Boss区域,3.0-5.0,0.3,0.5,250,true,true,true,false,true,Boss首次登场的过场相机
C05,Cinematic_BossPhase,Boss阶段转换,Cinematic,Boss,Boss进入新阶段,2.0-3.0,0.2,0.4,240,true,true,true,false,false,Boss阶段转换的戏剧化相机
Z01,Zoom_AttackImpact,攻击冲击缩放,Zoom,Combat,重攻击命中,0.2,0.02,0.12,100,false,false,true,false,true,重攻击命中时FOV短暂变化
Z02,Zoom_ChargeRelease,蓄力释放缩放,Zoom,Combat,蓄力攻击释放,0.25,0.05,0.15,95,true,false,true,false,false,蓄力攻击释放时的距离和FOV变化
Z03,Zoom_SkillActivate,技能激活缩放,Zoom,Combat,战技激活,0.3,0.05,0.2,90,true,false,true,false,false,战技激活时的强调缩放
Z04,Zoom_CriticalHit,暴击缩放,Zoom,Combat,触发暴击,0.15,0.02,0.1,110,false,false,true,false,false,暴击时的FOV脉冲
E01,Effect_LowHealth,低血量效果,Effect,Status,血量低于阈值,持续,0.5,0.5,50,false,false,false,true,true,低血量时的视觉警告效果
E02,Effect_StatusAilment,状态异常效果,Effect,Status,中毒/流血/狂乱等,状态持续,0.3,0.3,60,true,true,false,true,false,状态异常时的相机和视觉效果
E03,Effect_FocusMode,集中模式效果,Effect,Aim,进入瞄准/集中模式,模式持续,0.2,0.2,70,false,false,true,true,false,瞄准时的景深和暗角效果
X01,Special_SlowMotion,慢动作补偿,Special,Time,进入慢动作,慢动作持续,0.05,0.1,180,true,true,false,false,true,慢动作时相机的特殊处理
X02,Special_HitStop,打击顿帧,Special,Time,重攻击命中,0.05-0.1,0.0,0.02,190,false,false,false,false,true,命中时的短暂时间冻结配合
X03,Special_DeathCam,死亡相机,Special,Death,玩家死亡,2.0,0.1,0.0,255,true,true,true,true,true,死亡时的特殊相机行为
