ID,Category,SubCategory,StateName,ChineseName,Description,Priority,Reference
SimplfiedCameraState_1,FreeExploration,BasicMovement,Explore_Default,默认探索状态,标准第三人称跟随,1,All
SimplfiedCameraState_2,FreeExploration,BasicMovement,Explore_Walk,步行状态,步行时的镜头,1,All
SimplfiedCameraState_3,FreeExploration,BasicMovement,Explore_Sprint,冲刺状态,拉远+FOV增大,1,All
SimplfiedCameraState_4,FreeExploration,BasicMovement,Explore_Crouch,蹲伏状态,压低相机高度,1,All
SimplfiedCameraState_5,FreeExploration,BasicMovement,Explore_Backward,后退行走,后退时的镜头调整,1,All
SimplfiedCameraState_6,FreeExploration,BasicMovement,Explore_Strafe,侧向移动,侧向移动时保持面朝方向,1,All
SimplfiedCameraState_7,FreeExploration,Idle,Idle_Default,默认空闲,静止时的基础镜头,1,All
SimplfiedCameraState_8,FreeExploration,Idle,Idle_LongIdle,长时间空闲,长时间不操作时的镜头,2,All
SimplfiedCameraState_9,FreeExploration,Alignment,Align_ScreenEdge,边缘自动对齐,角色接近屏幕边缘时对齐,1,All
SimplfiedCameraState_10,FreeExploration,Alignment,Align_ReverseMovement,反向移动校正,Input-Driven Recentering,1,All
SimplfiedCameraState_11,FreeExploration,Alignment,Align_SoftDelay,软性延迟跟随,转向时带阻尼,1,All
SimplfiedCameraState_12,FreeExploration,Collision,Collision_Push,碰撞推动,撞墙时相机被推近,1,All
SimplfiedCameraState_13,FreeExploration,Collision,Collision_ObstructionFade,遮挡物渐隐,遮挡物变透明,1,All
SimplfiedCameraState_14,FreeExploration,Collision,Collision_TightSpace,狭小空间处理,狭小空间的相机处理,1,All
SimplfiedCameraState_15,FreeExploration,Collision,Collision_LowCeiling,低天花板压低,低天花板时压低相机,1,All
SimplfiedCameraState_16,FreeExploration,Movement,Move_Jump,跳跃中,跳跃时的镜头,1,EldenRing
SimplfiedCameraState_17,FreeExploration,Movement,Move_Fall,坠落中,坠落时的镜头,1,All
SimplfiedCameraState_18,FreeExploration,Movement,Move_Land,落地瞬间,落地时轻微震动,1,All
SimplfiedCameraState_19,FreeExploration,Movement,Move_HardLand,重落地,重落地时较强震动,1,All
SimplfiedCameraState_20,FreeExploration,Movement,Move_Roll,翻滚中,翻滚时短暂延迟跟随,1,All
SimplfiedCameraState_21,FreeExploration,Movement,Move_Slide,滑行滑坡,滑行时的镜头,2,Some
SimplfiedCameraState_22,FreeExploration,Climbing,Climb_Ladder,爬梯子,爬梯子时的固定视角,1,All
SimplfiedCameraState_23,FreeExploration,Climbing,Climb_Ledge,攀爬边缘,边缘攀爬时的镜头,1,EldenRing
SimplfiedCameraState_24,FreeExploration,Mount,Mount_Idle,骑乘静止,骑马静止,1,EldenRing
SimplfiedCameraState_25,FreeExploration,Mount,Mount_Walk,骑乘慢走,骑马慢走,1,EldenRing
SimplfiedCameraState_26,FreeExploration,Mount,Mount_Sprint,骑乘冲刺,骑马冲刺,1,EldenRing
SimplfiedCameraState_27,FreeExploration,Mount,Mount_Jump,骑乘跳跃,骑马跳跃,1,EldenRing
SimplfiedCameraState_28,FreeExploration,Mount,Mount_DoubleJump,骑乘二段跳,骑马二段跳,1,EldenRing
SimplfiedCameraState_29,FreeExploration,Mount,Mount_Combat,骑乘战斗,骑马战斗,1,EldenRing
SimplfiedCameraState_30,FreeExploration,Mount,Mount_Dismount,下马,下马动作,1,EldenRing
SimplfiedCameraState_31,FreeExploration,Mount,Mount_Mount,上马,上马动作,1,EldenRing
SimplfiedCameraState_32,FreeExploration,Mount,Mount_Summon,召唤坐骑,召唤灵马,1,EldenRing
SimplfiedCameraState_33,FreeExploration,Mount,Mount_Dismiss,遣散坐骑,遣散灵马,1,EldenRing
SimplfiedCameraState_34,FreeExploration,Area,Area_Enter_New,新区域进入,首次进入显示名称,1,All
SimplfiedCameraState_35,FreeExploration,Area,Area_Enter_Boss,Boss区域进入,进入Boss区域,1,All
SimplfiedCameraState_36,FreeExploration,Area,Area_FogWall,雾门相关,雾门相关镜头,1,All
SimplfiedCameraState_37,Combat,BasicCombat,Combat_Default,战斗警戒状态,比探索稍近更紧张,1,All
SimplfiedCameraState_38,Combat,BasicCombat,Combat_Engaged,战斗交战中,正在交战,1,All
SimplfiedCameraState_39,Combat,BasicCombat,Combat_Disengage,脱离战斗过渡,脱离战斗,1,All
SimplfiedCameraState_40,Combat,BasicCombat,Combat_Circling,绕敌人走动,围绕敌人移动,1,All
SimplfiedCameraState_41,Combat,LockOn,LockOn_Hard,硬锁定,目标居中,1,All
SimplfiedCameraState_42,Combat,LockOn,LockOn_Soft,软锁定,朝向偏转,1,All
SimplfiedCameraState_43,Combat,LockOn,LockOn_SwitchTarget,切换锁定目标,切换目标过渡,1,All
SimplfiedCameraState_44,Combat,LockOn,LockOn_LoseTarget,失去锁定目标,丢失目标,1,All
SimplfiedCameraState_45,Combat,LockOn,LockOn_MultiTarget,多目标情况,多目标锁定,1,All
SimplfiedCameraState_46,Combat,LockOn,LockOn_TargetTooClose,目标过近,目标太近时拉远,1,All
SimplfiedCameraState_47,Combat,LockOn,LockOn_TargetAbove,目标在上方,目标在上方时调整,1,All
SimplfiedCameraState_48,Combat,LockOn,LockOn_TargetBelow,目标在下方,目标在下方时调整,1,All
SimplfiedCameraState_49,Combat,Attack,Attack_Light,轻攻击,R1轻攻击,1,All
SimplfiedCameraState_50,Combat,Attack,Attack_Heavy,重攻击,R2重攻击,1,All
SimplfiedCameraState_51,Combat,Attack,Attack_Combo,连击中,连击时保持流畅,1,All
SimplfiedCameraState_52,Combat,Attack,Attack_Charged,蓄力攻击,蓄力时zoom-in,1,All
SimplfiedCameraState_53,Combat,Attack,Attack_ChargedRelease,蓄力释放,蓄力释放瞬间,1,All
SimplfiedCameraState_54,Combat,Attack,Attack_Jumping,跳跃攻击,跳跃攻击,1,EldenRing
SimplfiedCameraState_55,Combat,Attack,Attack_Plunging,下落攻击,下落攻击,1,All
SimplfiedCameraState_56,Combat,Attack,Attack_Running,冲刺攻击,冲刺攻击,1,All
SimplfiedCameraState_57,Combat,Attack,Attack_Backstep,后撤攻击,后撤攻击,1,All
SimplfiedCameraState_58,Combat,Attack,Attack_Skill,战技技能攻击,战技,1,All
SimplfiedCameraState_59,Combat,Attack,Attack_TwoHand,双手持握攻击,双手持握,1,All
SimplfiedCameraState_60,Combat,Attack,Attack_Transform,变形攻击,武器变形攻击,1,Bloodborne
SimplfiedCameraState_61,Combat,Defend,Defend_Block,举盾格挡,格挡,1,All
SimplfiedCameraState_62,Combat,Defend,Defend_BlockHit,格挡受击,格挡受击瞬间,1,All
SimplfiedCameraState_63,Combat,Defend,Defend_BlockBreak,盾被打破崩防,崩防,1,All
SimplfiedCameraState_64,Combat,Defend,Defend_Parry,弹反成功,弹反,1,All
SimplfiedCameraState_65,Combat,Defend,Defend_ParryPerfect,完美弹反,完美弹反,1,LiesOfP
SimplfiedCameraState_66,Combat,Defend,Defend_GunParry,枪械弹反,枪反,1,Bloodborne
SimplfiedCameraState_67,Combat,Dodge,Dodge_Roll,翻滚闪避,翻滚,1,All
SimplfiedCameraState_68,Combat,Dodge,Dodge_Backstep,后撤步,后撤步,1,All
SimplfiedCameraState_69,Combat,Dodge,Dodge_Quickstep,快速步,血源快速步,1,Bloodborne
SimplfiedCameraState_70,Combat,Hit,Hit_Light,轻微受击,小震动,1,All
SimplfiedCameraState_71,Combat,Hit,Hit_Heavy,重击受创,大震动,1,All
SimplfiedCameraState_72,Combat,Hit,Hit_Stagger,硬直状态,硬直,1,All
SimplfiedCameraState_73,Combat,Hit,Hit_Knockback,击退,击退中,1,All
SimplfiedCameraState_74,Combat,Hit,Hit_Knockdown,倒地,倒地,1,All
SimplfiedCameraState_75,Combat,Hit,Hit_Launch,浮空,浮空挑飞,1,All
SimplfiedCameraState_76,Combat,Hit,Hit_GrabStart,被抓取,被抓取开始,1,All
SimplfiedCameraState_77,Combat,Hit,Hit_GrabHeld,被抓住中,被抓住,1,All
SimplfiedCameraState_78,Combat,Status,Status_Poison,中毒,中毒状态,1,All
SimplfiedCameraState_79,Combat,Status,Status_Bleed,流血,流血状态,1,Bloodborne
SimplfiedCameraState_80,Combat,Status,Status_Frenzy,狂乱,狂乱状态,1,Bloodborne
SimplfiedCameraState_81,Combat,Status,Status_Frost,冻伤,冻伤状态,1,DarkSouls3
SimplfiedCameraState_82,Combat,Status,Status_ScarletRot,猩红腐败,猩红腐败,1,EldenRing
SimplfiedCameraState_83,Combat,Special,Special_Backstab,背刺,背刺,1,All
SimplfiedCameraState_84,Combat,Special,Special_Riposte,处决致命一击,处决,1,All
SimplfiedCameraState_85,Combat,Special,Special_ViscералAttack,内脏攻击,内脏攻击,1,Bloodborne
SimplfiedCameraState_86,Combat,Special,Special_CriticalHit,暴击,暴击,1,All
SimplfiedCameraState_87,Combat,Special,Special_FatalBlow,致命一击,致命一击,1,LiesOfP
SimplfiedCameraState_88,Combat,Boss,Boss_Intro,Boss登场,Boss登场过场,1,All
SimplfiedCameraState_89,Combat,Boss,Boss_Fight,Boss战进行中,Boss战,1,All
SimplfiedCameraState_90,Combat,Boss,Boss_PhaseTransition,Boss阶段转换,阶段转换,1,All
SimplfiedCameraState_91,Combat,Boss,Boss_Staggered,Boss硬直,Boss可处决,1,All
SimplfiedCameraState_92,Combat,Boss,Boss_Death,Boss死亡演出,Boss死亡,1,All
SimplfiedCameraState_93,Combat,Boss,Boss_Victory,Boss战胜利,胜利,1,All
SimplfiedCameraState_94,Combat,Boss,Boss_GiantEnemy,巨型Boss,巨型Boss,1,All
SimplfiedCameraState_95,Combat,Boss,Boss_Arena,竞技场边界限制,边界限制,1,All
SimplfiedCameraState_96,Combat,Ranged,Ranged_Aim,瞄准状态,瞄准,1,All
SimplfiedCameraState_97,Combat,Ranged,Ranged_Fire,射击,射击瞬间,1,All
SimplfiedCameraState_98,Combat,Ranged,Ranged_BowDraw,拉弓蓄力,拉弓,1,All
SimplfiedCameraState_99,Combat,Ranged,Ranged_BowRelease,放箭,放箭,1,All
SimplfiedCameraState_100,Combat,Ranged,Ranged_Crossbow,弩箭,弩箭瞄准,1,All
SimplfiedCameraState_101,Combat,Ranged,Magic_Cast,魔法施放,魔法施放,1,All
SimplfiedCameraState_102,Combat,Ranged,Magic_Channel,魔法引导,魔法引导,1,All
SimplfiedCameraState_103,Combat,Ranged,Ranged_Throw,投掷物,投掷,1,All
SimplfiedCameraState_104,Combat,Ranged,Ranged_Gun,枪械射击,枪械,1,Bloodborne
SimplfiedCameraState_105,Combat,Summon,Summon_SpiritAsh,灵灰召唤,灵灰召唤,1,EldenRing
SimplfiedCameraState_106,Combat,Summon,Summon_NPC,NPC召唤,NPC召唤,1,All
SimplfiedCameraState_107,Combat,Summon,Summon_Player,玩家召唤,玩家召唤,1,All
SimplfiedCameraState_108,Environment,Door,Door_Open_Normal,普通开门,普通开门,1,All
SimplfiedCameraState_109,Environment,Door,Door_Open_Heavy,推重门,推重门,1,All
SimplfiedCameraState_110,Environment,Door,Door_BossFog_Enter,穿过Boss雾门,雾门进入,1,All
SimplfiedCameraState_111,Environment,Door,Door_Locked,门被锁,门被锁,1,All
SimplfiedCameraState_112,Environment,Door,Door_Unlock,解锁门,解锁,1,All
SimplfiedCameraState_113,Environment,Door,Door_Shortcut,打开捷径门,捷径门,1,All
SimplfiedCameraState_114,Environment,Door,Gate_Operate,闸门操作,闸门,1,All
SimplfiedCameraState_115,Environment,Destructible,Destructible_Break,破坏物破碎,破坏物破碎,1,All
SimplfiedCameraState_116,Environment,Destructible,IllusoryWall_Reveal,幻影墙揭示,幻影墙,1,All
SimplfiedCameraState_117,Environment,Mechanism,Lever_Pull,拉杆操作,拉杆,1,All
SimplfiedCameraState_118,Environment,Mechanism,Elevator_Ride,乘坐电梯,电梯乘坐,1,All
SimplfiedCameraState_119,Environment,Mechanism,Elevator_Arrive,电梯到达,电梯到达,1,All
SimplfiedCameraState_120,Environment,Mechanism,Trap_Trigger,触发陷阱,陷阱触发,1,All
SimplfiedCameraState_121,Environment,Light,Lantern_Raise,举起提灯,举起提灯,1,Bloodborne
SimplfiedCameraState_122,Environment,Light,Lantern_Lower,放下提灯,放下提灯,1,Bloodborne
SimplfiedCameraState_123,Environment,Light,Torch_Light,点燃火把,点燃火把,1,All
SimplfiedCameraState_124,Item,Pickup,Item_Pickup_Normal,普通物品拾取,普通拾取,1,All
SimplfiedCameraState_125,Item,Pickup,Item_Pickup_Important,重要物品拾取,重要拾取,1,All
SimplfiedCameraState_126,Item,Pickup,Corpse_Loot,搜刮尸体,搜刮尸体,1,All
