ID,Category,SubCategory,StateName,ChineseName,Description,Priority,Reference
1,FreeExploration,BasicMovement,Explore_Default,默认探索状态,标准第三人称跟随，镜头高度与距离适中,1,All
2,FreeExploration,BasicMovement,Explore_Walk,步行状态,更cinematic的镜头感，轻微平滑阻尼,2,All
3,FreeExploration,BasicMovement,Explore_Jog,慢跑状态,基础移动，镜头略有滞后反馈,2,All
4,FreeExploration,BasicMovement,Explore_Sprint,冲刺状态,拉远+FOV增大+降低视角，强调速度感,1,All
5,FreeExploration,BasicMovement,Explore_Crouch,蹲伏状态,压低相机高度,2,All
6,FreeExploration,BasicMovement,Explore_CrouchSneak,蹲伏潜行,潜行时的低位视角,3,Some
7,FreeExploration,BasicMovement,Explore_Prone,匍匐状态,极低视角,4,Few
8,FreeExploration,BasicMovement,Explore_Backward,后退行走,可能轻微调整构图,2,All
9,FreeExploration,BasicMovement,Explore_BackpedalRecovery,后退恢复模式,从后退快速转为前进时的镜头平滑过渡,2,All
10,FreeExploration,BasicMovement,Explore_Strafe,侧向移动,保持面朝方向,2,All
11,FreeExploration,BasicMovement,Explore_ExplorationWander,探索漫游,自由漫游时的镜头行为,3,Some
12,FreeExploration,BasicMovement,Explore_PathFindFollow,寻路跟随,跟随引导路径时的镜头,3,Some
13,FreeExploration,Idle,Idle_Default,默认空闲,静止时的基础镜头状态,1,All
14,FreeExploration,Idle,Idle_Drift,空闲轻微漂移,空闲时相机轻微自然移动,3,Some
15,FreeExploration,Idle,Idle_Pan,空闲自动环顾,长时间空闲时自动环顾四周,3,Some
16,FreeExploration,Idle,Idle_EnvironmentScan,环境自动扫视,自动扫视周围环境,3,Some
17,FreeExploration,Idle,Idle_LongIdle,长时间空闲,可能触发特殊镜头或动画,2,All
18,FreeExploration,Alignment,Align_ScreenEdge,边缘自动对齐,角色接近屏幕边缘时自动对齐,1,All
19,FreeExploration,Alignment,Align_ReverseMovement,反向移动校正,Input-Driven Recentering,1,All
20,FreeExploration,Alignment,Align_SoftDelay,软性延迟跟随,转向时带阻尼,1,All
21,FreeExploration,Alignment,Align_HardSnap,硬对齐强制对齐,极端情况强制对齐,2,All
22,FreeExploration,Alignment,Align_WalkDirection,行走方向对齐,对齐到行走方向,2,All
23,FreeExploration,Alignment,Align_RunDirection,跑步方向对齐,对齐到跑步方向,2,All
24,FreeExploration,Shoulder,Shoulder_Left,左肩过肩视角,相机偏向左肩,2,Some
25,FreeExploration,Shoulder,Shoulder_Right,右肩过肩视角,相机偏向右肩,2,Some
26,FreeExploration,Shoulder,Shoulder_Switch,肩膀切换过渡,左右肩切换时的过渡,2,Some
27,FreeExploration,Shoulder,Shoulder_Center,中心视角,无偏移的中心视角,2,All
28,FreeExploration,Collision,Collision_Push,碰撞推动,撞墙时相机被推近,1,All
29,FreeExploration,Collision,Collision_WallPanic,墙壁恐慌模式,极端碰撞情况,2,All
30,FreeExploration,Collision,Collision_ObstructionFade,遮挡物渐隐,遮挡物变透明,1,All
31,FreeExploration,Collision,Collision_OcclusionRecovery,遮挡恢复,从被遮挡状态恢复,2,All
32,FreeExploration,Collision,Collision_TightSpace,狭小空间处理,狭小空间的相机处理,1,All
33,FreeExploration,Collision,Collision_TightCorridor,狭窄走廊模式,走廊中的特殊处理,2,All
34,FreeExploration,Collision,Collision_LowCeiling,低天花板压低,低天花板时压低相机,2,All
35,FreeExploration,Movement,Move_Jump,跳跃中,短暂解除跟随锁定,1,EldenRing
36,FreeExploration,Movement,Move_JumpAerial,空中跳跃,空中状态的镜头,2,EldenRing
37,FreeExploration,Movement,Move_Fall,坠落中,俯视角度变化，强调高度感,1,All
38,FreeExploration,Movement,Move_FallPanic,坠落恐慌模式,极端坠落情况,2,All
39,FreeExploration,Movement,Move_Land,落地瞬间,轻微震动+回正,1,All
40,FreeExploration,Movement,Move_HardLand,重落地,较强震动+FOV冲击,1,All
41,FreeExploration,Movement,Move_Roll,翻滚中,短暂延迟跟随,1,All
42,FreeExploration,Movement,Move_Slide,滑行滑坡,速度感强调,2,Some
43,FreeExploration,Movement,Move_CrouchSlide,蹲滑,蹲下滑行,3,Few
44,FreeExploration,Movement,Move_IceSlide,冰面滑行,冰面上的滑行,3,Few
45,FreeExploration,Movement,Move_SandDuneSlide,沙丘滑行,沙地滑行,3,Few
46,FreeExploration,Movement,Move_SprintToCover,冲刺掩体,冲向掩体,4,Few
47,FreeExploration,Movement,Move_SprintStumbleRecovery,疾跑踉跄恢复,疾跑中踉跄的恢复,3,Few
48,FreeExploration,Movement,Move_Swim_Surface,水面游泳,考虑水平线,2,Some
49,FreeExploration,Movement,Move_Swim_Underwater,水下游泳,可能有不同FOV后处理,2,Some
50,FreeExploration,Movement,Move_Swim_UnderwaterCurrent,水下暗流,受暗流影响时,3,Few
51,FreeExploration,Movement,Move_Swim_Dive,入水瞬间,入水时的镜头,2,Some
52,FreeExploration,Movement,Move_Swim_Emerge,出水瞬间,出水时的镜头,2,Some
53,FreeExploration,Climbing,Climb_Ladder,爬梯子,侧面或俯视固定视角,1,All
54,FreeExploration,Climbing,Climb_Ledge,攀爬边缘,强调手部和目标平台,2,EldenRing
55,FreeExploration,Climbing,Climb_LedgeHang,边缘悬挂,悬挂在边缘时,2,Some
56,FreeExploration,Climbing,Climb_Wall,攀岩爬墙,调整角度看到墙面,3,Few
57,FreeExploration,Climbing,Climb_WallCling,墙壁攀附,贴在墙上,3,Few
58,FreeExploration,Climbing,Climb_WallRun,墙跑,沿墙奔跑,4,Few
59,FreeExploration,Climbing,Climb_WallDash,墙冲,墙上冲刺,4,Few
60,FreeExploration,Climbing,Climb_CeilingCrawl,天花板爬行,在天花板上爬行,4,Few
61,FreeExploration,Climbing,Climb_Rope,爬绳索,爬绳子,3,Few
62,FreeExploration,Climbing,Climb_RopeZip,绳索滑行,沿绳索滑行,4,Few
63,FreeExploration,Climbing,Climb_Shimmy,悬挂侧移,沿边缘侧向移动,3,Few
64,FreeExploration,Climbing,Climb_VaultOver,翻越障碍,翻过障碍物,2,Some
65,FreeExploration,Climbing,Climb_MantleUp,撑起上台,撑起身体上平台,2,Some
66,FreeExploration,Climbing,Climb_DropDown,下落抓取,下落时抓住边缘,2,Some
67,FreeExploration,Climbing,Climb_GrappleSwing,钩索摆荡,用钩索摆荡,4,Sekiro
68,FreeExploration,Climbing,Climb_GrappleHookLaunch,钩索发射,发射钩索,4,Sekiro
69,FreeExploration,Climbing,Climb_GrappleHookSnap,钩索拉拽,被钩索拉过去,4,Sekiro
70,FreeExploration,Mount,Mount_Horse_Idle,骑马静止,骑在马上静止,1,EldenRing
71,FreeExploration,Mount,Mount_Horse_Walk,骑马慢走,骑马缓步,1,EldenRing
72,FreeExploration,Mount,Mount_Horse_Trot,骑马小跑,骑马小跑,1,EldenRing
73,FreeExploration,Mount,Mount_Horse_Gallop,骑马冲刺,更远距离+更广FOV,1,EldenRing
74,FreeExploration,Mount,Mount_Horse_Sprint,骑马极速冲刺,最高速骑行,1,EldenRing
75,FreeExploration,Mount,Mount_Horse_Jump,骑马跳跃,骑马跳跃,1,EldenRing
76,FreeExploration,Mount,Mount_Horse_Combat,骑马战斗,骑马战斗状态,1,EldenRing
77,FreeExploration,Mount,Mount_Horse_CombatLock,骑马战斗锁定,骑马时锁定敌人,1,EldenRing
78,FreeExploration,Mount,Mount_Horse_CombatRanged,骑马远程战斗,骑马时远程攻击,2,EldenRing
79,FreeExploration,Mount,Mount_Dismount,下马过程,下马动作,1,EldenRing
80,FreeExploration,Mount,Mount_DismountCombat,下马战斗,战斗中下马,2,EldenRing
81,FreeExploration,Mount,Mount_Mount,上马过程,上马动作,1,EldenRing
82,FreeExploration,Mount,Mount_MountCinematic,上马过场,上马的过场表现,2,EldenRing
83,FreeExploration,Mount,Mount_TorrentSummonEntry,坐骑召唤进入,召唤灵马,1,EldenRing
84,FreeExploration,Mount,Mount_TorrentDismissExit,坐骑遣散退出,遣散灵马,1,EldenRing
85,FreeExploration,Mount,Mount_Flying,飞行坐骑,飞行中,4,Few
86,FreeExploration,Mount,Mount_GlidingDescent,滑翔下降,滑翔,4,Few
87,FreeExploration,Mount,Mount_Boat,乘船,坐船,4,Few
88,FreeExploration,Mount,Mount_Cart,乘坐载具矿车,乘坐载具,4,Few
89,FreeExploration,Mount,Mount_FastTravel,快速旅行,传送时,2,All
90,FreeExploration,Edge,Edge_CliffDetection,悬崖边缘检测,检测到悬崖边缘,2,All
91,FreeExploration,Edge,Edge_CliffView,悬崖观景,在悬崖边观景,2,All
92,FreeExploration,Edge,Edge_CliffWarning,悬崖警告,危险警告,2,All
93,FreeExploration,Edge,Edge_VistaReveal,风景展示点,展示远景,2,All
94,FreeExploration,Edge,Edge_DangerWarning,危险边缘警告,危险区域警告,2,All
95,FreeExploration,Edge,Edge_BalanceWalk,平衡行走,窄桥等平衡行走,3,Some
96,FreeExploration,Edge,Edge_HighGroundSurvey,高地侦查,在高处侦查,2,All
97,FreeExploration,Edge,Edge_HighGroundElevation,高地视野提升,高处视野更好,2,All
98,FreeExploration,Edge,Edge_TerrainEdgeLookout,地形边缘瞭望,边缘瞭望,2,All
99,FreeExploration,Edge,Edge_LowCrouchPeek,低蹲窥视,蹲下窥视,3,Some
100,FreeExploration,Stealth,Stealth_Default,潜行默认,默认潜行状态,3,Some
101,FreeExploration,Stealth,Stealth_Stalk,潜行跟踪,跟踪敌人,3,Some
102,FreeExploration,Stealth,Stealth_Undetected,未被发现,潜行未被发现,3,Some
103,FreeExploration,Stealth,Stealth_Alerted,被发现瞬间,被敌人发现,2,Some
